OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,MonitoringLocationIdentifier,ResultIdentifier,CharacteristicName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760982,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760983,Silver,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760985,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760988,Alpha particle,Historical Lower Reporting Limit,0.60,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760991,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760992,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760993,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760996,Gross-Uranium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63760997,Gross-Uranium,Historical Lower Reporting Limit,0.010,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63761067,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63761068,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000292,USGS-03497300,NWIS-63761069,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-45112172,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-45112173,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-45112176,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-45112177,Organic Nitrogen,Historical Lower Reporting Limit,0.20,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-45112178,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750460,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750461,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750463,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750465,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750466,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750472,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750474,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750475,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750476,Chromium,Historical Lower Reporting Limit,5.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750477,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750562,Copper,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750564,Lead,Historical Lower Reporting Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750565,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750567,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750568,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750569,Nickel,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750570,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750571,Silver,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000339,USGS-03497300,NWIS-66750573,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-43258300,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-43258301,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-43258304,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-43258305,Organic Nitrogen,Historical Lower Reporting Limit,0.30,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790457,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790458,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790460,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790470,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790537,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790538,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790539,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790540,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790544,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790546,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790547,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790549,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790550,Silver,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000523,USGS-03497300,NWIS-63790552,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-43289224,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-43289227,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-43289228,Organic Nitrogen,Historical Lower Reporting Limit,0.17,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-43289229,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-43289230,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.30,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929839,Fluoride,Historical Lower Reporting Limit,0.1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929846,Kjeldahl nitrogen,Historical Lower Reporting Limit,0.20,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929917,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929919,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929920,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929921,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000718,USGS-03497300,NWIS-63929922,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000733,USGS-03497300,NWIS-66794343,Alpha particle,Historical Lower Reporting Limit,0.60,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000733,USGS-03497300,NWIS-66794346,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000733,USGS-03497300,NWIS-66796225,Gross-Uranium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494351,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494424,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494425,Nitrate,Historical Lower Reporting Limit,0.443,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494426,Nitrate,Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494427,Nitrate,Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494428,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494429,Organic Nitrogen,Historical Lower Reporting Limit,0.30,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494430,Phosphate-phosphorus,Historical Lower Reporting Limit,0.031,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494431,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.40,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-44494432,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,1.8,mg/l NO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65903931,Ammonia and ammonium,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65903932,Ammonia and ammonium,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65903933,Inorganic nitrogen (nitrate and nitrite),Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65903934,Inorganic nitrogen (nitrate and nitrite),Historical Lower Reporting Limit,0.10,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904012,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904013,Nitrite,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904016,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904017,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904018,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904023,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904025,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904026,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904027,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904028,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904032,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904034,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904110,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904111,Nickel,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904112,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904113,Silver,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100001,USGS-03497300,NWIS-65904115,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258713,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258714,Organic Nitrogen,Historical Lower Reporting Limit,0.18,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258715,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258716,Phosphate-phosphorus,Historical Lower Reporting Limit,0.031,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258717,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.50,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-43258718,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,2.2,mg/l NO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852658,Fluoride,Historical Lower Reporting Limit,0.1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852665,Kjeldahl nitrogen,Historical Lower Reporting Limit,0.20,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852738,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852739,Nitrite,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852740,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852741,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100167,USGS-03497300,NWIS-63852742,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-43289695,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-43289696,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-43289697,Phosphate-phosphorus,Historical Lower Reporting Limit,0.031,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63991996,Fluoride,Historical Lower Reporting Limit,0.1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992090,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992091,Nitrite,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992095,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992096,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992098,Phosphorus,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992103,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992105,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992183,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992184,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992185,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992189,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992190,Manganese,Historical Lower Reporting Limit,1.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992191,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992192,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992193,Nickel,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992194,Selenium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992195,Silver,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992197,Vanadium,Historical Lower Reporting Limit,6.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992200,Alpha particle,Historical Lower Reporting Limit,0.60,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992203,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992288,Gross-Uranium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992289,Gross-Uranium,Historical Lower Reporting Limit,0.01,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992292,Alpha particle,Historical Lower Reporting Limit,0.6,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992293,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100305,USGS-03497300,NWIS-63992294,Beta particle,Historical Lower Reporting Limit,0.6,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-43261860,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-43261861,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-43261862,Phosphate-phosphorus,Historical Lower Reporting Limit,0.031,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897420,Nitrite,Historical Lower Reporting Limit,0.010,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897421,Nitrite,Historical Lower Reporting Limit,0.01,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897425,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897426,Orthophosphate,Historical Lower Reporting Limit,0.01,mg/l as P,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897502,Arsenic,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897504,Beryllium,Historical Lower Reporting Limit,0.50,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897505,Cadmium,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897506,Chromium,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897507,Cobalt,Historical Lower Reporting Limit,3.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897508,Copper,Historical Lower Reporting Limit,1.0,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897511,Lithium,Historical Lower Reporting Limit,4.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897512,Manganese,Historical Lower Reporting Limit,1.00,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897513,Mercury,Historical Lower Reporting Limit,0.1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99100462,USGS-03497300,NWIS-63897514,Molybdenum,Historical Lower Reporting Limit,10.0,ug/l,NWIS
